Dates,Category,Descript,PdDistrict,Resolution,Address,X,Y
2008-05-30 18:57:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",INGLESIDE,PSYCHOPATHIC CASE,0 Block of TUCKER AV,-122.40450026817601,37.7155319865115
2006-09-20 18:00:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,NORTHERN,NONE,WEBSTER ST / GEARY BL,-122.431206932079,37.7845681170336
2012-10-06 05:30:00,ASSAULT,CHILD ABUSE (PHYSICAL),TARAVAL,"ARREST, BOOKED",200 Block of WILSON ST,-122.46149103165199,37.709405425461895
2009-05-02 16:00:00,NON-CRIMINAL,FOUND PROPERTY,MISSION,UNFOUNDED,4100 Block of 18TH ST,-122.435563016294,37.760801062884
2012-03-24 10:45:00,FRAUD,"FALSE PRETENSES, GRAND THEFT",SOUTHERN,"ARREST, BOOKED",HAWTHORNE ST / HARRISON ST,-122.396265814237,37.78344043211771
2009-09-29 17:50:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",BAYVIEW,NONE,3100 Block of SAN BRUNO AV,-122.401335963906,37.72198844716
2014-07-10 13:30:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,PARK,NONE,1800 Block of GOLDEN GATE AV,-122.441044298253,37.77834925567209
2013-05-13 12:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",BAYVIEW,NONE,0 Block of HARBOR RD,-122.37826801848101,37.7323807302226
2012-03-19 18:41:00,NON-CRIMINAL,"STAY AWAY OR COURT ORDER, NON-DV RELATED",PARK,"ARREST, BOOKED",0 Block of KEZAR DR,-122.45512727517,37.7695200227183
2005-02-11 21:00:00,VEHICLE THEFT,STOLEN TRUCK,INGLESIDE,NONE,GENEVA AV / MOSCOW ST,-122.433708216507,37.713145221335296
2008-10-16 09:00:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,SOUTHERN,"ARREST, BOOKED",300 Block of BERRY ST,-122.396661415271,37.7730956120037
2003-10-01 12:00:00,ASSAULT,THREATS AGAINST LIFE,NORTHERN,NONE,2200 Block of UNION ST,-122.43634053076599,37.79703639636929
2006-01-01 12:00:00,SEX OFFENSES FORCIBLE,CHILD ABUSE SEXUAL,MISSION,NONE,0 Block of ALVARADO ST,-122.42227958204201,37.754364759535896
2007-10-04 12:50:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,RICHMOND,NONE,300 Block of SPRUCE ST,-122.453747579487,37.7877691509146
2004-01-21 19:20:00,OTHER OFFENSES,MISCELLANEOUS STATE MISDEMEANOR,NORTHERN,"ARREST, CITED",POLK ST / HEMLOCK ST,-122.420021471054,37.7872807075879
2006-04-17 11:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,CENTRAL,"ARREST, BOOKED",1600 Block of THE EMBARCADERONORTH ST,-122.410774214375,37.8084350175869
2015-04-19 18:40:00,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,NORTHERN,"ARREST, BOOKED",2000 Block of UNION ST,-122.43305222388399,37.7974547210515
2012-03-25 16:15:00,OTHER OFFENSES,PROBATION VIOLATION,SOUTHERN,NONE,700 Block of MARKET ST,-122.40391914835699,37.7871160984672
2008-11-30 19:15:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,TENDERLOIN,"ARREST, BOOKED",0 Block of POWELL ST,-122.407845374111,37.7850943210103
2005-01-10 00:23:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",MISSION,"ARREST, CITED",21ST ST / MISSION ST,-122.418904204524,37.75703611323139
2005-07-28 21:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,TARAVAL,NONE,1200 Block of 38TH AV,-122.497617897075,37.76358328681221
2009-12-22 08:33:00,DRUG/NARCOTIC,TRANSPORTATION OF MARIJUANA,MISSION,NONE,2200 Block of 17TH ST,-122.405960799364,37.764631022109796
2008-09-07 22:35:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",MISSION,NONE,3100 Block of 16TH ST,-122.423622537404,37.7647573853335
2003-05-29 17:02:00,OTHER OFFENSES,TRAFFIC VIOLATION,INGLESIDE,"ARREST, CITED",CRESCENT AV / ANDOVER ST,-122.416824272044,37.7348885156561
2003-05-31 10:45:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",TENDERLOIN,"ARREST, CITED",400 Block of LEAVENWORTH ST,-122.41445716230899,37.7851373814889
2010-07-02 15:30:00,OTHER OFFENSES,PROBATION VIOLATION,TENDERLOIN,"ARREST, BOOKED",100 Block of POWELL ST,-122.407877787733,37.785968007677496
2008-06-10 20:00:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",PARK,"ARREST, CITED",EDDY ST / SCOTT ST,-122.437262577518,37.7808016285055
2004-03-16 20:30:00,OTHER OFFENSES,CONSPIRACY,INGLESIDE,JUVENILE BOOKED,VIENNA ST / AMAZON AV,-122.43449126422199,37.7150662183209
2010-05-21 11:55:00,LARCENY/THEFT,GRAND THEFT BICYCLE,TARAVAL,NONE,3700 Block of PACHECO ST,-122.500335110636,37.7495030636812
2007-01-11 00:01:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,TARAVAL,NONE,2000 Block of 15TH AV,-122.471881751236,37.749747755076896
2007-09-21 19:20:00,DRUG/NARCOTIC,POSSESSION OF HALLUCINOGENIC,TARAVAL,"ARREST, BOOKED",200 Block of FARALLONES ST,-122.460845506311,37.7139872622666
2004-11-22 21:05:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,CENTRAL,"ARREST, BOOKED",900 Block of POST ST,-122.417634160005,37.787063186215
2007-09-06 14:50:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",TARAVAL,"ARREST, CITED",VICENTE ST / 15TH AV,-122.471094957311,37.7395144841605
2009-09-15 21:48:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,TENDERLOIN,"ARREST, CITED",300 Block of ELLIS ST,-122.41198764359501,37.7850226622786
2015-02-02 20:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NORTHERN,NONE,1600 Block of GEARY BL,-122.429629258891,37.784896668192395
2007-08-06 18:40:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",PARK,"ARREST, CITED",DOUGLASS ST / 17TH ST,-122.439490866474,37.7622259635745
2013-09-21 07:14:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",MISSION,PSYCHOPATHIC CASE,16TH ST / VALENCIA ST,-122.421886357981,37.7649178909424
2004-02-21 13:59:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,NORTHERN,NONE,500 Block of PAGE ST,-122.429836242427,37.77319578686
2007-04-20 17:30:00,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2009-02-05 14:50:00,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,TENDERLOIN,"ARREST, BOOKED",JONES ST / TURK ST,-122.41241426358101,37.7830037964534
2003-12-14 12:45:00,MISSING PERSON,MISSING JUVENILE,SOUTHERN,LOCATED,MARKET ST / VAN NESS AV,-122.419257894821,37.775146291630996
2007-02-08 22:40:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,TENDERLOIN,NONE,100 Block of GOLDEN GATE AV,-122.413069926397,37.7820204255866
2005-08-25 17:15:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,MISSION,NONE,700 Block of CHURCH ST,-122.428155898854,37.7584715433795
2012-02-11 01:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,NONE,10TH ST / FOLSOM ST,-122.41282664802401,37.772811562575
2006-02-26 01:25:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,CENTRAL,"ARREST, BOOKED",BUSH ST / HYDE ST,-122.417019320691,37.7891095538736
2006-01-11 09:48:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,PARK,"ARREST, BOOKED",1800 Block of HAIGHT ST,-122.452706340322,37.769215670589396
2010-12-14 13:30:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,SOUTHERN,NONE,9TH ST / HARRISON ST,-122.410078544842,37.772526493426106
2014-04-15 15:14:00,NON-CRIMINAL,AIDED CASE -PROPERTY FOR DESTRUCTION,RICHMOND,NONE,400 Block of 6TH AV,-122.464279879446,37.7800332991006
2006-05-06 21:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NORTHERN,NONE,POLK ST / GREENWICH ST,-122.42271717232401,37.800625210602796
2009-10-26 17:00:00,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",NORTHERN,NONE,1100 Block of POST ST,-122.42075384839899,37.7866670084912
2014-11-01 07:03:00,OTHER OFFENSES,CRUELTY TO ANIMALS,TENDERLOIN,NONE,JONES ST / TURK ST,-122.41241426358101,37.7830037964534
2009-09-30 13:19:00,ASSAULT,THREATS AGAINST LIFE,RICHMOND,NONE,700 Block of 9TH AV,-122.46694862418501,37.7742721429002
2009-09-29 20:34:00,OTHER OFFENSES,TRAFFIC VIOLATION,TARAVAL,"ARREST, CITED",TARAVAL ST / 24TH AV,-122.481048196583,37.7428142354227
2008-04-15 17:30:00,ASSAULT,THREATS AGAINST LIFE,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2007-01-12 12:50:00,NON-CRIMINAL,FOUND PROPERTY,MISSION,NONE,600 Block of VALENCIA ST,-122.421747650463,37.7627436601147
2010-10-24 19:20:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,MISSION,"ARREST, BOOKED",2800 Block of 23RD ST,-122.408792875412,37.7543708769036
2004-06-11 00:01:00,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2008-05-29 15:45:00,OTHER OFFENSES,TRAFFIC VIOLATION,NORTHERN,"ARREST, CITED",300 Block of HAYES ST,-122.422180938873,37.7770395107539
2015-02-04 06:50:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2008-01-25 23:15:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,PARK,NONE,2100 Block of 15TH ST,-122.43214134989901,37.7658742170814
2003-01-08 14:10:00,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,SOUTHERN,"ARREST, BOOKED",900 Block of MARKET ST,-122.408421116922,37.7835699386918
2010-09-24 12:00:00,NON-CRIMINAL,LOST PROPERTY,RICHMOND,NONE,500 Block of JOHNFKENNEDY DR,-122.46620466789301,37.7725405391593
2003-03-06 07:01:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,TENDERLOIN,"ARREST, BOOKED",EDDY ST / LARKIN ST,-122.417530696987,37.783310753974
2010-06-18 16:45:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,INGLESIDE,"ARREST, BOOKED",1000 Block of GIRARD ST,-122.40128053454501,37.7195883367836
2014-06-13 18:30:00,VEHICLE THEFT,STOLEN TRUCK,TARAVAL,NONE,LAWTON ST / 19TH AV,-122.47668451958599,37.7579683424839
2010-12-04 22:45:00,WARRANTS,WARRANT ARREST,PARK,"ARREST, BOOKED",HAIGHT ST / COLE ST,-122.450709919144,37.7695262270693
2013-07-09 20:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,MISSION,NONE,100 Block of JULIAN AV,-122.420908468984,37.7657766621198
2003-01-23 21:30:00,NON-CRIMINAL,LOST PROPERTY,TARAVAL,NONE,2400 Block of JUDAH ST,-122.488250097134,37.7611496810124
2011-08-26 14:33:00,RECOVERED VEHICLE,RECOVERED VEHICLE - STOLEN OUTSIDE SF,INGLESIDE,NONE,0 Block of EDNA ST,-122.44648336075399,37.727081635806606
2008-06-24 12:45:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,CENTRAL,NONE,2800 Block of LEAVENWORTH ST,-122.418930302924,37.80735025163229
2006-10-07 22:00:00,NON-CRIMINAL,LOST PROPERTY,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2006-03-10 12:30:00,OTHER OFFENSES,TRAFFIC VIOLATION,BAYVIEW,"ARREST, CITED",OAKDALE AV / QUINT ST,-122.39594817520201,37.7377836782445
2014-10-30 12:00:00,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,MISSION,NONE,1200 Block of SOUTH VAN NESS AV,-122.416407071861,37.7531509460228
2003-03-31 21:47:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",SOUTHERN,"ARREST, BOOKED",MARKET ST / 12TH ST,-122.420254960356,37.774358171047204
2014-06-26 00:01:00,SEX OFFENSES FORCIBLE,"FORCIBLE RAPE, BODILY FORCE",RICHMOND,NONE,800 Block of 46TH AV,-122.50682106206101,37.7724536866236
2003-06-28 20:20:00,SUICIDE,SUICIDE BY FIREARMS,TARAVAL,NONE,1600 Block of 47TH AV,-122.50673880835501,37.7556938548753
2011-03-13 13:30:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",BAYVIEW,NONE,100 Block of KISKA RD,-122.375989158092,37.7301576924252
2012-02-21 14:42:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",NORTHERN,PSYCHOPATHIC CASE,0 Block of BANNECKER WY,-122.428840986798,37.77736747189
2010-06-15 20:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NORTHERN,NONE,GROVE ST / VANNESS AV,-122.41988493945699,37.77825108324121
2004-08-30 10:00:00,FRAUD,"FORGERY, CREDIT CARD",RICHMOND,NONE,5500 Block of GEARY BL,-122.478861040049,37.7804830223849
2007-02-19 18:15:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,SOUTHERN,DISTRICT ATTORNEY REFUSES TO PROSECUTE,0 Block of 6TH ST,-122.40950430935,37.781526271747
2013-02-24 18:15:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2004-04-01 17:47:00,VEHICLE THEFT,STOLEN AUTOMOBILE,PARK,NONE,100 Block of ORD ST,-122.440217789816,37.7619851996847
2009-03-06 09:16:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,SOUTHERN,"ARREST, BOOKED",500 Block of STEVENSON ST,-122.410891754793,37.7809097652868
2013-07-14 09:45:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,CENTRAL,NONE,1100 Block of LOMBARD ST,-122.420468917267,37.8019448217689
2009-05-15 17:20:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",BAYVIEW,"ARREST, CITED",BAY SHORE BL / TUNNEL AV,-122.40065985054702,37.7130595860044
2008-09-18 09:00:00,RECOVERED VEHICLE,RECOVERED VEHICLE - STOLEN OUTSIDE SF,BAYVIEW,NONE,0 Block of CASHMERE ST,-122.38274539551901,37.73565878863421
2015-03-02 01:45:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,NONE,8TH ST / FOLSOM ST,-122.410065781604,37.7749906792593
2011-01-10 22:21:00,NON-CRIMINAL,AIDED CASE,PARK,NONE,MASONIC AV / HAIGHT ST,-122.4453467866,37.7702081959172
2014-11-15 19:27:00,WARRANTS,WARRANT ARREST,PARK,"ARREST, BOOKED",1800 Block of HAIGHT ST,-122.452706340322,37.769215670589396
2005-04-05 13:30:00,ASSAULT,BATTERY,NORTHERN,NONE,200 Block of HAIGHT ST,-122.42636199242901,37.7726818428837
2009-05-17 18:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,PARK,NONE,17TH ST / MARKET ST,-122.435187699349,37.7626702770872
2008-12-08 14:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,SOUTHERN,NONE,ANNIE ST / MISSION ST,-122.401264374737,37.786851240585
2004-05-26 16:00:00,MISSING PERSON,MISSING JUVENILE,INGLESIDE,NONE,300 Block of SAWYER ST,-122.414200995694,37.7137889657104
2014-11-02 23:50:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",INGLESIDE,"ARREST, CITED",TEDDY AV / DELTA ST,-122.408604345134,37.715156141297605
2003-06-23 01:02:00,OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION,CENTRAL,"ARREST, BOOKED",PACIFIC AV / MONTGOMERY ST,-122.40367811242099,37.797297202925
2014-02-23 17:05:00,OTHER OFFENSES,"PHONE CALLS, OBSCENE",TARAVAL,NONE,16TH AV / IRVING ST,-122.473913199648,37.7637009886983
2007-07-11 14:35:00,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",NORTHERN,"ARREST, BOOKED",1200 Block of VANNESS AV,-122.421441956086,37.78685164710871
2012-08-22 12:00:00,MISSING PERSON,FOUND PERSON,INGLESIDE,LOCATED,500 Block of PARIS ST,-122.43624113289499,37.7200611965426
2006-12-30 14:02:00,OTHER OFFENSES,CONSPIRACY,NORTHERN,"ARREST, BOOKED",400 Block of WEBSTER ST,-122.429252101312,37.7748946056341
2004-09-14 02:15:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",NORTHERN,NONE,600 Block of BUCHANAN ST,-122.427841838313,37.775552811757706
2003-02-17 18:30:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,MISSION,NONE,500 Block of VALENCIA ST,-122.42187648849199,37.7640888944532
2009-11-01 01:45:00,OTHER OFFENSES,RESISTING ARREST,MISSION,"ARREST, BOOKED",SANCARLOS ST / 18TH ST,-122.42013077113,37.7617902898149
2013-10-19 09:17:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,TENDERLOIN,"ARREST, BOOKED",100 Block of LEAVENWORTH ST,-122.413893155951,37.782346520672995
2005-01-30 22:30:00,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",TARAVAL,NONE,1900 Block of 16TH AV,-122.473135698267,37.75156462130821
2015-03-04 19:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,NORTHERN,NONE,BUCHANAN ST / UNION ST,-122.43220809844,37.7975061678802
2005-11-30 20:00:00,VEHICLE THEFT,TAMPERING WITH A VEHICLE,TARAVAL,NONE,0 Block of RHINE ST,-122.46079329717101,37.709324517141
2005-08-12 09:15:00,LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",SOUTHERN,NONE,0 Block of UNITEDNATIONS PZ,-122.41431785788099,37.7799444052046
2006-02-25 11:30:00,VEHICLE THEFT,STOLEN TRUCK,BAYVIEW,NONE,HAWES ST / HOLLISTER AV,-122.390564527749,37.7186884382294
2009-09-19 22:54:00,OTHER OFFENSES,TRAFFIC VIOLATION,CENTRAL,"ARREST, CITED",FRONT ST / PINE ST,-122.39859245512501,37.7924073165691
2003-08-05 21:00:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,TENDERLOIN,"ARREST, BOOKED",300 Block of LEAVENWORTH ST,-122.414406029855,37.7841907151119
2007-11-27 09:00:00,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",TARAVAL,NONE,0 Block of ROCKRIDGE DR,-122.469748625841,37.750810592187705
2006-05-04 12:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NORTHERN,NONE,1700 Block of VANNESS AV,-122.422777244531,37.7917190991489
2008-09-30 21:55:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,SOUTHERN,"ARREST, BOOKED",0 Block of 6TH ST,-122.40891322980801,37.781211650766295
2014-01-25 09:00:00,NON-CRIMINAL,AIDED CASE,RICHMOND,NONE,0 Block of LUPINE AV,-122.44788322779699,37.7838798782161
2013-08-25 03:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2009-04-30 14:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,TENDERLOIN,NONE,0 Block of UNITEDNATIONS PZ,-122.41431222924,37.77983391835871
2012-03-09 19:36:00,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,NORTHERN,"ARREST, BOOKED",1400 Block of POLK ST,-122.420660609645,37.7900998202351
2007-04-04 09:20:00,RECOVERED VEHICLE,RECOVERED VEHICLE - STOLEN OUTSIDE SF,BAYVIEW,NONE,1200 Block of FITZGERALD AV,-122.39221691150401,37.721560203650796
2011-12-16 21:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,SOUTHERN,NONE,1500 Block of MISSION ST,-122.417975390351,37.7737509379648
2005-08-13 05:34:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",TARAVAL,"ARREST, CITED",2100 Block of 20TH AV,-122.47701842881,37.7476504475944
2003-03-21 02:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,MISSION,NONE,OTIS ST / 13TH ST,-122.42001017561701,37.770109929822
2008-07-23 16:00:00,FORGERY/COUNTERFEITING,"FORGERY, DRIVERS LICENSE OR ID-CARD",CENTRAL,NONE,2500 Block of JONES ST,-122.416825708582,37.804573382234395
2012-11-27 13:55:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,MISSION,NONE,2100 Block of MISSION ST,-122.419424383763,37.7632323869521
2005-09-08 11:30:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,SOUTHERN,NONE,6TH ST / FOLSOM ST,-122.405618998029,37.778504519068896
2008-10-30 22:29:00,WEAPON LAWS,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,MISSION,"ARREST, CITED",YORK ST / 24TH ST,-122.408192367379,37.7528534193268
2005-10-31 15:10:00,VEHICLE THEFT,RECOVERED VEHICLE - STOLEN OUTSIDE SF,NORTHERN,NONE,0 Block of MARINA BL,-122.432951589917,37.805052022888106
2011-12-02 09:00:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,BAYVIEW,NONE,200 Block of HALE ST,-122.40995477637699,37.7316654708996
2006-12-31 10:24:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,MISSION,"ARREST, BOOKED",MISSION ST / CLARION AL,-122.419478247917,37.763050767731
2010-01-29 19:30:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,SOUTHERN,"ARREST, CITED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2006-09-07 17:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,CENTRAL,NONE,2900 Block of LARKIN ST,-122.421844581151,37.80504855361461
2014-04-14 18:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,RICHMOND,NONE,2400 Block of LAKE ST,-122.48570014063299,37.785775937143605
2003-09-18 09:00:00,NON-CRIMINAL,LOST PROPERTY,NORTHERN,NONE,100 Block of GROVE ST,-122.419085788323,37.7784353333225
2011-07-30 11:50:00,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",TENDERLOIN,JUVENILE BOOKED,100 Block of POWELL ST,-122.40801449292,37.7859507767613
2007-03-07 08:07:00,OTHER OFFENSES,PAROLE VIOLATION,TENDERLOIN,"ARREST, BOOKED",0 Block of TURK ST,-122.409853729941,37.7833862379382
2007-09-07 20:00:00,OTHER OFFENSES,TAMPERING WITH A VEHICLE,BAYVIEW,NONE,2200 Block of JERROLD AV,-122.40115332544501,37.7455266252261
2011-02-25 12:35:00,NON-CRIMINAL,LOST PROPERTY,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2013-09-21 20:00:00,LARCENY/THEFT,PETTY THEFT BICYCLE,TENDERLOIN,NONE,ELLIS ST / HYDE ST,-122.41607528505101,37.78444966127911
2009-07-09 09:08:00,ASSAULT,BATTERY,MISSION,NONE,2200 Block of 17TH ST,-122.405960799364,37.764631022109796
2006-03-08 23:14:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",BAYVIEW,"ARREST, CITED",NEWHALL ST / KIRKWOOD AV,-122.389960179517,37.7381683051019
2005-03-12 14:25:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,MISSION,"ARREST, CITED",2000 Block of MARKET ST,-122.426955631709,37.769247063207004
2008-04-16 21:37:00,ROBBERY,ROBBERY ON THE STREET WITH A GUN,MISSION,"ARREST, BOOKED",300 Block of GUERRERO ST,-122.42429614527,37.7655714839397
2015-02-08 20:45:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,RICHMOND,NONE,23RD AV / GEARY BL,-122.482591965523,37.7801881443222
2006-11-28 19:45:00,ARSON,ARSON OF A VEHICLE,NORTHERN,NONE,400 Block of LILY ST,-122.42795148216601,37.7739135802819
2010-01-12 20:20:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,INGLESIDE,"ARREST, BOOKED",MISSION ST / OCEAN AV,-122.435385454946,37.7239104470753
2004-01-10 22:45:00,ASSAULT,BATTERY,NORTHERN,NONE,1400 Block of PINE ST,-122.41967295494499,37.789668941238
2004-12-12 19:50:00,ROBBERY,ROBBERY ON THE STREET WITH A GUN,BAYVIEW,NONE,1400 Block of INNES AV,-122.386100703211,37.738002011720795
2008-05-26 12:17:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,BAYVIEW,"ARREST, BOOKED",1000 Block of FITZGERALD AV,-122.388335559443,37.719284994140295
2012-04-06 15:00:00,NON-CRIMINAL,FOUND PROPERTY,MISSION,NONE,600 Block of VALENCIA ST,-122.421747650463,37.7627436601147
2007-05-30 02:40:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,CENTRAL,"ARREST, CITED",SUTTER ST / HYDE ST,-122.4168291485,37.788178697075
2005-06-05 21:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,INGLESIDE,NONE,700 Block of ROLPH ST,-122.431015257276,37.7117445002313
2003-10-02 01:02:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,TENDERLOIN,"ARREST, BOOKED",0 Block of JONES ST,-122.41219255572099,37.781604574125204
2014-11-10 05:45:00,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,SOUTHERN,"ARREST, BOOKED",STEVENSON ST / 7TH ST,-122.411935615745,37.780006442029794
2007-09-04 04:55:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,MISSION,"ARREST, CITED",SOUTH VAN NESS AV / 17TH ST,-122.41733258259,37.7635718955893
2004-04-13 02:30:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,INGLESIDE,NONE,900 Block of BOSWORTH ST,-122.437125947901,37.7340330977421
2007-05-04 17:30:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2004-01-05 12:00:00,NON-CRIMINAL,LOST PROPERTY,RICHMOND,NONE,3900 Block of WASHINGTON ST,-122.458342402936,37.7885940163596
2006-07-29 15:07:00,WARRANTS,WARRANT ARREST,BAYVIEW,"ARREST, BOOKED",OAKDALE AV / RANKIN ST,-122.397812021225,37.7388469465485
2009-08-09 15:10:00,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",CENTRAL,"ARREST, BOOKED",600 Block of HYDE ST,-122.416614060876,37.786777956045
